 ;Direct consumption / Mean values [W] ;Battery discharging / Mean values [W] ;External energy supply / Mean values [W] ;Total consumption / Mean values [W] ;Grid feed-in / Mean values [W] ;Direct consumption / Mean values [W]  ;Battery charging / Mean values [W]  ;PV power generation / Mean values [W]  ;Target value / Mean values [W]  ;Output value / Mean values [W]  
"=""00:00"""; ; ; ; ; ; ; ; ;300;"3,000"
"=""00:15"""; ;972;"1,990";;28;;0;; ; 
"=""00:30"""; ;863;"2,738";;59;;0;; ; 
"=""00:45"""; ;431;"1,856";;18;;0;; ; 
"=""01:00"""; ;1;"1,688";;0;;0;; ; 
"=""01:15"""; ;0;"2,070";;0;;1;; ; 
"=""01:30"""; ;0;"1,756";;0;;3;; ; 
"=""01:45"""; ;2;"1,629";;0;;0;; ; 
"=""02:00"""; ;0;"1,722";;0;;0;; ; 
"=""02:15"""; ;0;"1,520";;0;;5;; ; 
"=""02:30"""; ;2;"1,755";;0;;0;; ; 
"=""02:45"""; ;0;"1,375";;0;;0;; ; 
"=""03:00"""; ;0;"1,501";;0;;1;; ; 
"=""03:15"""; ;0;"1,684";;0;;0;; ; 
"=""03:30"""; ;0;"1,329";;0;;1;; ; 
"=""03:45"""; ;0;"1,319";;0;;1;; ; 
"=""04:00"""; ;0;"1,423";;0;;3;; ; 
"=""04:15"""; ;1;"1,385";;0;;0;; ; 
"=""04:30"""; ;0;"1,134";;0;;1;; ; 
"=""04:45"""; ;3;"1,171";;0;;0;; ; 
"=""05:00"""; ;0;"1,391";;0;;2;; ; 
"=""05:15"""; ;0;"1,905";;0;;2;; ; 
"=""05:30"""; ;0;"3,231";;0;;1;; ; 
"=""05:45"""; ;2;"1,512";;0;;0;; ; 
"=""06:00""";0;3;"1,077";"1,080";0;0;0;; ; 
"=""06:15""";0;0;942;942;0;0;0;; ; 
"=""06:30""";0;0;930;926;0;0;4;; ; 
"=""06:45""";0;0;844;844;0;0;0;0; ; 
"=""07:00""";5;0;717;722;0;5;2;7; ; 
"=""07:15""";67;0;"2,122";"2,188";0;67;0;67; ; 
"=""07:30""";142;0;886;"1,028";0;142;2;144; ; 
"=""07:45""";304;0;"1,169";"1,473";0;304;0;304; ; 
"=""08:00""";481;0;705;"1,186";0;481;1;482; ; 
"=""08:15""";661;0;820;"1,481";4;661;2;667; ; 
"=""08:30""";827;0;760;"1,587";85;827;5;916; ; 
"=""08:45""";"1,001";0;759;"1,759";87;"1,001";118;"1,205"; ; 
"=""08:52"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""08:57"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:00""";"1,114";0;767;"1,881";83;"1,114";154;"1,351"; ; 
"=""09:15""";"1,327";0;"1,481";"2,808";78;"1,327";174;"1,578"; ; 
"=""09:22"""; ; ; ; ; ; ; ; ; ;"1,650"
"=""09:27"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:30""";"1,435";0;677;"2,112";80;"1,435";208;"1,722"; ; 
"=""09:32"""; ; ; ; ; ; ; ; ; ;0
"=""09:37"""; ; ; ; ; ; ; ; ; ;"1,980"
"=""09:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""09:45""";"1,367";0;475;"1,842";135;"1,367";360;"1,861"; ; 
"=""10:00""";"1,639";0;613;"2,252";96;"1,639";237;"1,971"; ; 
"=""10:15""";"1,299";0;50;"1,349";37;"1,299";801;"2,136"; ; 
"=""10:30""";"1,386";0;37;"1,423";38;"1,386";746;"2,170"; ; 
"=""10:45""";"1,492";0;50;"1,541";49;"1,492";741;"2,281"; ; 
"=""11:00""";"1,516";0;41;"1,557";42;"1,516";777;"2,334"; ; 
"=""11:15""";"1,519";0;15;"1,534";14;"1,519";910;"2,443"; ; 
"=""11:27"""; ; ; ; ; ; ; ; ; ;"2,070"
"=""11:30""";"1,888";0;33;"1,921";33;"1,888";575;"2,495"; ; 
"=""11:32"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""11:45""";"2,195";0;23;"2,218";21;"2,195";312;"2,528"; ; 
"=""12:00""";"2,041";0;18;"2,059";23;"2,041";472;"2,536"; ; 
"=""12:07"""; ; ; ; ; ; ; ; ; ;"2,460"
"=""12:12"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:15""";"1,957";0;47;"2,004";46;"1,957";425;"2,428"; ; 
"=""12:30""";"1,596";0;37;"1,633";37;"1,596";918;"2,552"; ; 
"=""12:32"""; ; ; ; ; ; ; ; ; ;900
"=""12:37"""; ; ; ; ; ; ; ; ; ;"2,010"
"=""12:42"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""12:45""";"1,817";0;104;"1,921";101;"1,817";486;"2,403"; ; 
"=""12:57"""; ; ; ; ; ; ; ; ; ;120
"=""13:00""";"1,958";0;39;"1,997";34;"1,958";465;"2,457"; ; 
"=""13:02"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""13:15""";499;"1,450";45;"1,993";48;499;0;547; ; 
"=""13:30""";"1,875";0;25;"1,900";38;"1,875";225;"2,138"; ; 
"=""13:45""";"1,289";451;34;"1,774";29;"1,289";0;"1,318"; ; 
"=""14:00""";"1,040";"1,601";141;"2,782";93;"1,040";0;"1,133"; ; 
"=""14:15""";"1,821";144;73;"2,039";55;"1,821";0;"1,876"; ; 
"=""14:17"""; ; ; ; ; ; ; ; ; ;900
"=""14:22"""; ; ; ; ; ; ; ; ; ;"3,000"
"=""14:30""";580;"1,183";947;"2,710";36;580;0;615; ; 
"=""14:45""";405;81;"4,163";"4,650";8;405;0;413; ; 
"=""15:00""";455;0;"2,797";"3,252";0;455;0;455; ; 
"=""15:15""";514;0;"1,110";"1,624";0;514;2;516; ; 
"=""15:30""";729;0;52;781;28;729;46;802; ; 
"=""15:45""";740;0;"1,108";"1,848";12;740;42;793; ; 
"=""16:00""";623;0;211;834;1;623;21;645; ; 
"=""16:15""";599;0;197;796;0;599;0;599; ; 
"=""16:30""";548;0;245;793;0;548;2;550; ; 
"=""16:45""";342;0;449;791;0;342;0;342; ; 
"=""17:00""";117;0;"1,890";"2,006";0;117;1;117; ; 
"=""17:15""";81;0;"1,718";"1,799";0;81;0;81; ; 
"=""17:30""";70;1;"1,467";"1,538";0;70;0;70; ; 
"=""17:45""";31;1;"1,514";"1,546";0;31;0;31; ; 
"=""18:00""";3;1;"1,541";"1,545";0;3;0;3; ; 
"=""18:15""";0;0;"2,371";"2,032";0;0;0;; ; 
"=""18:30""";0;0;"2,460";"2,460";0;0;0;; ; 
"=""18:45""";0;0;"2,824";"2,607";0;0;0;; ; 
"=""19:00"""; ;0;"2,468";;0;;0;; ; 
"=""19:15"""; ;0;"4,468";;0;;0;; ; 
"=""19:30"""; ;0;"2,664";;0;;0;; ; 
"=""19:45"""; ;0;"2,837";;0;;0;; ; 
"=""20:00"""; ;0;"2,889";;0;;0;; ; 
"=""20:15"""; ;0;"2,695";;0;;0;; ; 
"=""20:30"""; ;0;"2,253";;0;;0;; ; 
"=""20:45"""; ;0;"3,520";;0;;0;; ; 
"=""21:00"""; ;0;"2,978";;0;;0;; ; 
"=""21:15"""; ;0;"2,884";;0;;0;; ; 
"=""21:30"""; ;0;"2,170";;0;;0;; ; 
"=""21:45"""; ;0;"2,025";;0;;0;; ; 
"=""22:00"""; ;0;"1,721";;0;;0;; ; 
"=""22:15"""; ;0;"1,902";;0;;0;; ; 
"=""22:30"""; ;0;"1,710";;0;;0;; ; 
"=""22:45"""; ;0;"1,538";;0;;0;; ; 
"=""23:00"""; ;0;"1,754";;0;;0;; ; 
"=""23:15"""; ;0;"1,456";;0;;0;; ; 
"=""23:30"""; ;0;"1,585";;0;;0;; ; 
"=""23:45"""; ;0;"1,868";;0;;0;; ; 
"=""00:00"""; ;0;"1,503";;0;;0;;300;"3,000"
